model_type,params,f1_score
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.05', 'c2': '0.1', 'max_iterations': '50', 'epsilon': '0.00001'}",70.8
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.05', 'c2': '0.1', 'max_iterations': '50', 'epsilon': '0.0001'}",70.8
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.05', 'c2': '0.1', 'max_iterations': '100', 'epsilon': '0.00001'}",71.9
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.05', 'c2': '0.1', 'max_iterations': '100', 'epsilon': '0.0001'}",71.9
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.05', 'c2': '0.1', 'max_iterations': '200', 'epsilon': '0.00001'}",71.2
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.05', 'c2': '0.1', 'max_iterations': '200', 'epsilon': '0.0001'}",71.2
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.05', 'c2': '0.3', 'max_iterations': '50', 'epsilon': '0.00001'}",70.8
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.05', 'c2': '0.3', 'max_iterations': '50', 'epsilon': '0.0001'}",70.8
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.05', 'c2': '0.3', 'max_iterations': '100', 'epsilon': '0.00001'}",70.9
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.05', 'c2': '0.3', 'max_iterations': '100', 'epsilon': '0.0001'}",70.9
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.05', 'c2': '0.3', 'max_iterations': '200', 'epsilon': '0.00001'}",71.0
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.05', 'c2': '0.3', 'max_iterations': '200', 'epsilon': '0.0001'}",71.0
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.05', 'c2': '0.5', 'max_iterations': '50', 'epsilon': '0.00001'}",70.8
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.05', 'c2': '0.5', 'max_iterations': '50', 'epsilon': '0.0001'}",70.8
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.05', 'c2': '0.5', 'max_iterations': '100', 'epsilon': '0.00001'}",71.1
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.05', 'c2': '0.5', 'max_iterations': '100', 'epsilon': '0.0001'}",71.1
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.05', 'c2': '0.5', 'max_iterations': '200', 'epsilon': '0.00001'}",70.8
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.05', 'c2': '0.5', 'max_iterations': '200', 'epsilon': '0.0001'}",70.8
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.1', 'c2': '0.1', 'max_iterations': '50', 'epsilon': '0.00001'}",70.6
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.1', 'c2': '0.1', 'max_iterations': '50', 'epsilon': '0.0001'}",70.6
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.1', 'c2': '0.1', 'max_iterations': '100', 'epsilon': '0.00001'}",71.5
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.1', 'c2': '0.1', 'max_iterations': '100', 'epsilon': '0.0001'}",71.5
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.1', 'c2': '0.1', 'max_iterations': '200', 'epsilon': '0.00001'}",71.3
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.1', 'c2': '0.1', 'max_iterations': '200', 'epsilon': '0.0001'}",71.3
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.1', 'c2': '0.3', 'max_iterations': '50', 'epsilon': '0.00001'}",70.4
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.1', 'c2': '0.3', 'max_iterations': '50', 'epsilon': '0.0001'}",70.4
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.1', 'c2': '0.3', 'max_iterations': '100', 'epsilon': '0.00001'}",71.0
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.1', 'c2': '0.3', 'max_iterations': '100', 'epsilon': '0.0001'}",71.0
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.1', 'c2': '0.3', 'max_iterations': '200', 'epsilon': '0.00001'}",71.1
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.1', 'c2': '0.3', 'max_iterations': '200', 'epsilon': '0.0001'}",71.1
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.1', 'c2': '0.5', 'max_iterations': '50', 'epsilon': '0.00001'}",70.2
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.1', 'c2': '0.5', 'max_iterations': '50', 'epsilon': '0.0001'}",70.2
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.1', 'c2': '0.5', 'max_iterations': '100', 'epsilon': '0.00001'}",70.8
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.1', 'c2': '0.5', 'max_iterations': '100', 'epsilon': '0.0001'}",70.8
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.1', 'c2': '0.5', 'max_iterations': '200', 'epsilon': '0.00001'}",70.8
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.1', 'c2': '0.5', 'max_iterations': '200', 'epsilon': '0.0001'}",70.8
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.2', 'c2': '0.1', 'max_iterations': '50', 'epsilon': '0.00001'}",71.2
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.2', 'c2': '0.1', 'max_iterations': '50', 'epsilon': '0.0001'}",71.2
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.2', 'c2': '0.1', 'max_iterations': '100', 'epsilon': '0.00001'}",71.5
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.2', 'c2': '0.1', 'max_iterations': '100', 'epsilon': '0.0001'}",71.5
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.2', 'c2': '0.1', 'max_iterations': '200', 'epsilon': '0.00001'}",71.5
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.2', 'c2': '0.1', 'max_iterations': '200', 'epsilon': '0.0001'}",71.5
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.2', 'c2': '0.3', 'max_iterations': '50', 'epsilon': '0.00001'}",70.5
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.2', 'c2': '0.3', 'max_iterations': '50', 'epsilon': '0.0001'}",70.5
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.2', 'c2': '0.3', 'max_iterations': '100', 'epsilon': '0.00001'}",71.0
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.2', 'c2': '0.3', 'max_iterations': '100', 'epsilon': '0.0001'}",71.0
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.2', 'c2': '0.3', 'max_iterations': '200', 'epsilon': '0.00001'}",71.2
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.2', 'c2': '0.3', 'max_iterations': '200', 'epsilon': '0.0001'}",71.2
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.2', 'c2': '0.5', 'max_iterations': '50', 'epsilon': '0.00001'}",70.0
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.2', 'c2': '0.5', 'max_iterations': '50', 'epsilon': '0.0001'}",70.0
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.2', 'c2': '0.5', 'max_iterations': '100', 'epsilon': '0.00001'}",70.7
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.2', 'c2': '0.5', 'max_iterations': '100', 'epsilon': '0.0001'}",70.7
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.2', 'c2': '0.5', 'max_iterations': '200', 'epsilon': '0.00001'}",70.5
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.2', 'c2': '0.5', 'max_iterations': '200', 'epsilon': '0.0001'}",70.5
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.05', 'c2': '0.1', 'max_iterations': '50', 'epsilon': '0.00001'}",74.4
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.05', 'c2': '0.1', 'max_iterations': '50', 'epsilon': '0.0001'}",74.4
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.05', 'c2': '0.1', 'max_iterations': '100', 'epsilon': '0.00001'}",74.4
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.05', 'c2': '0.1', 'max_iterations': '100', 'epsilon': '0.0001'}",74.4
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.05', 'c2': '0.1', 'max_iterations': '200', 'epsilon': '0.00001'}",73.9
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.05', 'c2': '0.1', 'max_iterations': '200', 'epsilon': '0.0001'}",73.9
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.05', 'c2': '0.3', 'max_iterations': '50', 'epsilon': '0.00001'}",73.0
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.05', 'c2': '0.3', 'max_iterations': '50', 'epsilon': '0.0001'}",73.0
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.05', 'c2': '0.3', 'max_iterations': '100', 'epsilon': '0.00001'}",73.7
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.05', 'c2': '0.3', 'max_iterations': '100', 'epsilon': '0.0001'}",73.7
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.05', 'c2': '0.3', 'max_iterations': '200', 'epsilon': '0.00001'}",74.0
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.05', 'c2': '0.3', 'max_iterations': '200', 'epsilon': '0.0001'}",74.0
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.05', 'c2': '0.5', 'max_iterations': '50', 'epsilon': '0.00001'}",70.3
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.05', 'c2': '0.5', 'max_iterations': '50', 'epsilon': '0.0001'}",70.3
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.05', 'c2': '0.5', 'max_iterations': '100', 'epsilon': '0.00001'}",71.1
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.05', 'c2': '0.5', 'max_iterations': '100', 'epsilon': '0.0001'}",71.1
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.05', 'c2': '0.5', 'max_iterations': '200', 'epsilon': '0.00001'}",71.4
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.05', 'c2': '0.5', 'max_iterations': '200', 'epsilon': '0.0001'}",71.4
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.1', 'c2': '0.1', 'max_iterations': '50', 'epsilon': '0.00001'}",72.3
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.1', 'c2': '0.1', 'max_iterations': '50', 'epsilon': '0.0001'}",72.3
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.1', 'c2': '0.1', 'max_iterations': '100', 'epsilon': '0.00001'}",74.5
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.1', 'c2': '0.1', 'max_iterations': '100', 'epsilon': '0.0001'}",74.5
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.1', 'c2': '0.1', 'max_iterations': '200', 'epsilon': '0.00001'}",74.1
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.1', 'c2': '0.1', 'max_iterations': '200', 'epsilon': '0.0001'}",74.1
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.1', 'c2': '0.3', 'max_iterations': '50', 'epsilon': '0.00001'}",71.0
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.1', 'c2': '0.3', 'max_iterations': '50', 'epsilon': '0.0001'}",71.0
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.1', 'c2': '0.3', 'max_iterations': '100', 'epsilon': '0.00001'}",73.5
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.1', 'c2': '0.3', 'max_iterations': '100', 'epsilon': '0.0001'}",73.5
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.1', 'c2': '0.3', 'max_iterations': '200', 'epsilon': '0.00001'}",73.5
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.1', 'c2': '0.3', 'max_iterations': '200', 'epsilon': '0.0001'}",73.5
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.1', 'c2': '0.5', 'max_iterations': '50', 'epsilon': '0.00001'}",70.4
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.1', 'c2': '0.5', 'max_iterations': '50', 'epsilon': '0.0001'}",70.4
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.1', 'c2': '0.5', 'max_iterations': '100', 'epsilon': '0.00001'}",71.0
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.1', 'c2': '0.5', 'max_iterations': '100', 'epsilon': '0.0001'}",71.0
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.1', 'c2': '0.5', 'max_iterations': '200', 'epsilon': '0.00001'}",71.0
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.1', 'c2': '0.5', 'max_iterations': '200', 'epsilon': '0.0001'}",71.0
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.2', 'c2': '0.1', 'max_iterations': '50', 'epsilon': '0.00001'}",72.1
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.2', 'c2': '0.1', 'max_iterations': '50', 'epsilon': '0.0001'}",72.1
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.2', 'c2': '0.1', 'max_iterations': '100', 'epsilon': '0.00001'}",74.3
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.2', 'c2': '0.1', 'max_iterations': '100', 'epsilon': '0.0001'}",74.3
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.2', 'c2': '0.1', 'max_iterations': '200', 'epsilon': '0.00001'}",74.4
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.2', 'c2': '0.1', 'max_iterations': '200', 'epsilon': '0.0001'}",74.4
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.2', 'c2': '0.3', 'max_iterations': '50', 'epsilon': '0.00001'}",70.9
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.2', 'c2': '0.3', 'max_iterations': '50', 'epsilon': '0.0001'}",70.9
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.2', 'c2': '0.3', 'max_iterations': '100', 'epsilon': '0.00001'}",73.3
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.2', 'c2': '0.3', 'max_iterations': '100', 'epsilon': '0.0001'}",73.3
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.2', 'c2': '0.3', 'max_iterations': '200', 'epsilon': '0.00001'}",73.3
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.2', 'c2': '0.3', 'max_iterations': '200', 'epsilon': '0.0001'}",73.3
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.2', 'c2': '0.5', 'max_iterations': '50', 'epsilon': '0.00001'}",70.0
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.2', 'c2': '0.5', 'max_iterations': '50', 'epsilon': '0.0001'}",70.0
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.2', 'c2': '0.5', 'max_iterations': '100', 'epsilon': '0.00001'}",71.0
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.2', 'c2': '0.5', 'max_iterations': '100', 'epsilon': '0.0001'}",71.0
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.2', 'c2': '0.5', 'max_iterations': '200', 'epsilon': '0.00001'}",70.9
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '5', 'c1': '0.2', 'c2': '0.5', 'max_iterations': '200', 'epsilon': '0.0001'}",70.9
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.05', 'c2': '0.1', 'max_iterations': '50', 'epsilon': '0.00001'}",67.7
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.05', 'c2': '0.1', 'max_iterations': '50', 'epsilon': '0.0001'}",67.7
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.05', 'c2': '0.1', 'max_iterations': '100', 'epsilon': '0.00001'}",70.0
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.05', 'c2': '0.1', 'max_iterations': '100', 'epsilon': '0.0001'}",70.0
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.05', 'c2': '0.1', 'max_iterations': '200', 'epsilon': '0.00001'}",71.6
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.05', 'c2': '0.1', 'max_iterations': '200', 'epsilon': '0.0001'}",71.6
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.05', 'c2': '0.3', 'max_iterations': '50', 'epsilon': '0.00001'}",67.4
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.05', 'c2': '0.3', 'max_iterations': '50', 'epsilon': '0.0001'}",67.4
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.05', 'c2': '0.3', 'max_iterations': '100', 'epsilon': '0.00001'}",68.2
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.05', 'c2': '0.3', 'max_iterations': '100', 'epsilon': '0.0001'}",68.2
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.05', 'c2': '0.3', 'max_iterations': '200', 'epsilon': '0.00001'}",68.2
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.05', 'c2': '0.3', 'max_iterations': '200', 'epsilon': '0.0001'}",68.2
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.05', 'c2': '0.5', 'max_iterations': '50', 'epsilon': '0.00001'}",66.3
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.05', 'c2': '0.5', 'max_iterations': '50', 'epsilon': '0.0001'}",66.3
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.05', 'c2': '0.5', 'max_iterations': '100', 'epsilon': '0.00001'}",67.7
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.05', 'c2': '0.5', 'max_iterations': '100', 'epsilon': '0.0001'}",67.7
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.05', 'c2': '0.5', 'max_iterations': '200', 'epsilon': '0.00001'}",67.6
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.05', 'c2': '0.5', 'max_iterations': '200', 'epsilon': '0.0001'}",67.6
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.1', 'c2': '0.1', 'max_iterations': '50', 'epsilon': '0.00001'}",67.4
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.1', 'c2': '0.1', 'max_iterations': '50', 'epsilon': '0.0001'}",67.4
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.1', 'c2': '0.1', 'max_iterations': '100', 'epsilon': '0.00001'}",70.9
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.1', 'c2': '0.1', 'max_iterations': '100', 'epsilon': '0.0001'}",70.9
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.1', 'c2': '0.1', 'max_iterations': '200', 'epsilon': '0.00001'}",71.5
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.1', 'c2': '0.1', 'max_iterations': '200', 'epsilon': '0.0001'}",71.5
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.1', 'c2': '0.3', 'max_iterations': '50', 'epsilon': '0.00001'}",67.5
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.1', 'c2': '0.3', 'max_iterations': '50', 'epsilon': '0.0001'}",67.5
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.1', 'c2': '0.3', 'max_iterations': '100', 'epsilon': '0.00001'}",68.3
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.1', 'c2': '0.3', 'max_iterations': '100', 'epsilon': '0.0001'}",68.3
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.1', 'c2': '0.3', 'max_iterations': '200', 'epsilon': '0.00001'}",68.1
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.1', 'c2': '0.3', 'max_iterations': '200', 'epsilon': '0.0001'}",68.1
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.1', 'c2': '0.5', 'max_iterations': '50', 'epsilon': '0.00001'}",66.9
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.1', 'c2': '0.5', 'max_iterations': '50', 'epsilon': '0.0001'}",66.9
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.1', 'c2': '0.5', 'max_iterations': '100', 'epsilon': '0.00001'}",67.7
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.1', 'c2': '0.5', 'max_iterations': '100', 'epsilon': '0.0001'}",67.7
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.1', 'c2': '0.5', 'max_iterations': '200', 'epsilon': '0.00001'}",67.7
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.1', 'c2': '0.5', 'max_iterations': '200', 'epsilon': '0.0001'}",67.7
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.2', 'c2': '0.1', 'max_iterations': '50', 'epsilon': '0.00001'}",67.4
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.2', 'c2': '0.1', 'max_iterations': '50', 'epsilon': '0.0001'}",67.4
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.2', 'c2': '0.1', 'max_iterations': '100', 'epsilon': '0.00001'}",70.2
